Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0.0,-38.88,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
0.1,-29.52,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
0.2,-18.83,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
0.3,30.0,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
0.4,-65.24,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
0.5,-65.68,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
0.6,-66.09,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
0.7,-66.45,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
0.8,-66.77,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
0.9,-67.04,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
1.0,-67.28,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
1.1,-67.48,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
1.2,-67.64,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
1.3,-67.77,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
1.4,-67.87,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
1.5,-67.94,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
1.6,-67.98,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
1.7,-68.0,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
1.8,-68.0,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
1.9,-67.98,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
2.0,-67.94,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
2.1,-67.85,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
2.2,-67.77,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
2.3,-67.68,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
2.4,-67.57,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
2.5,-67.46,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
2.6,-67.33,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
2.7,-67.2,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
2.8,-67.06,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
2.9,-66.9,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
3.0,-66.74,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
3.1,-66.57,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
3.2,-66.4,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
3.3,-66.21,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
3.4,-66.02,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
3.5,-65.82,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
3.6,-65.61,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
3.7,-65.4,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
3.8,-65.06,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
3.9,-64.82,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
4.0,-64.57,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
4.1,-64.32,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
4.2,-64.05,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
4.3,-63.77,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
4.4,-63.49,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
4.5,-63.19,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
4.6,-62.87,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
4.7,-62.54,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
4.8,-62.19,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
4.9,-61.83,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
5.0,-61.24,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
5.1,-60.82,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
5.2,-60.37,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
5.3,-59.89,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
5.4,-59.38,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
5.5,-58.82,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
5.6,-58.21,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
5.7,-57.55,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
5.8,-56.82,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
5.9,-56.01,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
6.0,-55.1,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
6.1,-54.06,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
6.2,-52.87,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
6.3,-51.48,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
6.4,-49.83,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
6.5,-47.82,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
6.6,-45.31,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
6.7,-40.08,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
6.8,-34.94,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
6.9,-27.4,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
7.0,-15.26,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
7.1,30.0,20.0,28.0,-114.0,0.0,-114.0,0.0,0.0
7.2,-65.22,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
7.3,-65.64,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
7.4,-66.02,20.0,27.0,-112.0,0.0,-113.0,0.0,0.0
7.5,-66.36,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
7.6,-66.65,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
7.7,-66.91,20.0,27.0,-114.0,0.0,-114.0,0.0,0.0
