"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"B1","1","4kHz","","","","Maxime:BUZ-TH_L12.0-W12.0"
"BT1","1","Battery_Cell","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"C1,C55","2","1nF","","","","JLCPCB:C_0603"
"C2,C4,C11,C14,C24,C25,C26,C36,C40,C61","10","1uF","","","","JLCPCB:C_0805"
"C3,C6,C8,C10,C12,C13,C18,C21,C23,C27,C28,C30,C32,C33,C35,C37,C39,C42,C44,C45,C47,C49,C51,C53,C56,C57,C58,C60,C62","29","100nF","","","","JLCPCB:C_0603"
"C5,C15,C16,C17,C29,C31,C34,C38,C52,C59","10","4.7uF","","","","JLCPCB:C_0805"
"C7,C22","2","10uF","","","","JLCPCB:C_1206"
"C9,C19,C20","3","22uF","","","","JLCPCB:C_1206"
"C41","1","10uF","","","","JLCPCB:C_0805"
"C43","1","4.7nF","","","","JLCPCB:C_0603"
"C46,C48,C50,C63","4","10nF","","","","JLCPCB:C_0603"
"C54","1","10pF","","","","JLCPCB:C_0603"
"D1","1","SMF6.0A","","","","JLCPCB:D_SOD-123FL"
"D2,D3","2","Red","","","","JLCPCB:D_0603"
"D4","1","Yellow","","","","JLCPCB:D_0603"
"D5,D8,D11,D14,D17,D18","6","TPD2E2U06DCKR","","","","Maxime:SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL"
"D6,D7,D9,D10,D12,D19","6","BAT54S","","","","JLCPCB:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"
"D13","1","BPW34S-Z","","","","Maxime:SENSOR-TH_BPW34S-Z"
"D15","1","LED_BGKR","","","","LED_SMD:LED_Kingbright_APFA3010_3x1.5mm_Horizontal"
"D16","1","MHPC3528CRGBCT","","","","Maxime:LED-SMD_4P-L3.2-W2.8-BL"
"J1","1","Connector, USB-TYPE-C-16P","","","","JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN"
"J2","1","Synapse1 In","","","","Maxime:AUDIO-SMD_HX-PJ-320A-3P-DIP"
"J3","1","Synapse2 In","","","","Maxime:AUDIO-SMD_HX-PJ-320A-3P-DIP"
"J4","1","Input Current","","","","Maxime:AUDIO-SMD_HX-PJ-320A-3P-DIP"
"J5","1","Stimulus Out","","","","Maxime:AUDIO-SMD_HX-PJ-320A-3P-DIP"
"J6","1","Synapse Out","","","","Maxime:AUDIO-SMD_HX-PJ-320A-3P-DIP"
"J7","1","Oscilloscope Output","","","","Maxime:AUDIO-SMD_PJ-320B"
"L1,L5","2","BLM21PG221SN1D","","","","Maxime:L0805"
"L2","1","2.2uH","","","","Maxime:IND-SMD_L3.0-W3.0_XFL3012"
"L3","1","MPZ2012S601","","","","JLCPCB:L_0805"
"L4","1","2.2uH","","","","Maxime:IND-SMD_L4.4-W4.0_PHC0420"
"Q1","1","FS8205A","","","","Maxime:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"
"Q2,Q3,Q4","3","2N7002","","","","JLCPCB:Q_SOT-23"
"R1,R16,R18,R24,R61","5","1MΩ","","","","JLCPCB:R_0603"
"R2,R3,R4,R5,R22","5","5.1kΩ","","","","JLCPCB:R_0603"
"R6","1","0Ω","","","","JLCPCB:R_0603"
"R7","1","4.7kΩ","","","","JLCPCB:R_0603"
"R8,R10","2","5.1MΩ","","","","JLCPCB:R_0603"
"R9,R11,R23,R26,R27,R45,R69,R70,R71,R72,R73,R74","12","100Ω","","","","JLCPCB:R_0603"
"R12","1","2.2kΩ","","","","JLCPCB:R_0603"
"R13","1","330Ω","","","","JLCPCB:R_0603"
