Designator,Footprint,Quantity,Value,LCSC Part #
B1,BUZ-TH_L12.0-W12.0,1,4kHz,C7421651
BT1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery_Cell,C265283
"C1, C26",C_0603,2,1nF,C1588
"C10, C16, C17, C19, C20, C22, C23, C25, C27, C31, C33, C34, C35, C36, C37, C4, C41, C44, C45, C48, C50, C52, C54, C55, C57, C7, C8",C_0603,27,100nF,C14663
"C11, C14, C18, C2, C30, C42, C47, C49, C56",C_0603,9,4.7uF,C19666
"C12, C24, C28, C32, C43, C46, C51, C53, C58, C9",C_0603,10,1uF,C15849
C13,C_0603,1,4.7nF,C53987
C15,C_0603,1,10pF,C1634
"C21, C39",C_0603,2,10uF,C19702
"C29, C38, C40",C_0603,3,22uF,C59461
"C3, C5, C6",C_0603,3,10nF,C57112
D1,D_SOD-123FL,1,SMF6.0AQ,C20605188
"D10, D11, D2, D3",SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,4,TPD2E2U06DCKR,
D4,SENSOR-TH_BPW34S-Z,1,BPW34S-Z,C67891
"D5, D6",D_0603,2,Red,C2286
D7,D_0603,1,Yellow,C89811
D8,LED-SMD_4P-L3.2-W2.8-BL,1,MHPC3528CRGBCT,C2962096
D9,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_BGKR,
"J1, J3, J4, J5, J6",AUDIO-SMD_PJ-320B,5,PJ-320B,C18594
J2,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper,
"L1, L5",L0805,2,BLM21PG221SN1D,C85840
L2,L0805,1,MPZ2012S601,
L3,IND-SMD_L3.0-W3.0_XFL3012,1,2.2uH,
L4,L_0805,1,2.2uH,C1043
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A,C908265
"Q2, Q3, Q4",Q_SOT-23,3,2N7002,C8545
"R1, R24, R50, R53, R54",R_0603,5,1MΩ,C22935
"R10, R12, R13, R14, R15, R16, R17, R26, R27, R34, R46, R47, R6, R63",R_0603,14,1kΩ,C21190
"R11, R30, R31, R56, R9",R_0603,5,5.1kΩ,C23186
"R18, R21, R33, R57, R58, R69, R70, R71, R72",R_0603,9,10kΩ,C25804
"R19, R20",R_0603,2,5.1MΩ,C13320
R2,R_0603,1,4.7kΩ,C23162
"R22, R23, R25, R44, R45, R52, R60, R61, R62, R64, R65, R66",R_0603,12,100Ω,C22775
R28,R_0603,1,2.2kΩ,C4190
R29,R_0603,1,330Ω,C23138
"R3, R4, R43, R49, R5, R51, R55, R59, R67, R7, R8",R_0603,11,100kΩ,C25803
R32,R_0603,1,0Ω,C21189
"R35, R36",R_0603,2,22Ω,C23345
"R37, R38, R39, R40, R41, R48",R_0603,6,47Ω,C23182
R42,R_0603,1,910kΩ,
R68,R_0603,1,150Ω,C22808
"SW1, SW4, SW5",KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,3,SKHHLVA010,C110289
SW2,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
SW3,SW-TH_MMP122-R,1,SW_Nidec_CAS-120A1, C92657
"TP1, TP2, TP3, TP4",TestPoint_Pad_D2.0mm,4,TestPoint,
TV1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SRV05-4-P-T7,C85364
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP73812T-420I/OT,C144308
U10,WIFIM-SMD_ESP32-S3-WROOM-1-N8,1,ESP32-S3-WROOM-1-N4,C2913197
"U11, U3",SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL,2,LM66100DCKR,C2869734
"U12, U14",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,MCP3208T-CI/SL,C626764
U13,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TLV9001IDBVR,
U2,F1812,1,MF-MSMF050-2,C17313
U4,VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,OPA380AIDGKR,C2057355
U5,WSON-6_L1.5-W1.5-P0.50-TL,1,BQ29700DSER,C183096
U6,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS7A2033PDBVR,
U7,WSON-8_L2.0-W2.0-P0.50-TL-EP,1,TPS62162DSGR,
U8,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,1,TPS61200DRCR,C140320
U9,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,MCP4922-E/SL,
"VR1, VR2, VR3, VR4, VR6, VR7",RES-TH_RK09D1130C2P,6,10kΩ,C470316
VR5,RES-TH_RK09D1130C2P,1,10kΩ,C361173
