Designator,Mid X,Mid Y,Rotation,Layer
B1,81.66,-23.12,0.0,top
BT1,45.53,-8.63,0.0,bottom
C1,52.9,-6.93,180.0,top
C10,68.590755,-9.767341,270.0,top
C11,57.579455,-17.848665,270.0,top
C12,73.39003,-9.76557,270.0,top
C13,48.48,-27.98,180.0,top
C14,69.27,-13.1835,90.0,top
C15,39.28,-72.47,0.0,top
C16,67.92,-13.1835,270.0,top
C17,41.460872,-7.605035,180.0,top
C18,44.52,-69.14,270.0,top
C19,43.17,-69.14,270.0,top
C2,63.029455,-17.828665,270.0,top
C20,26.42,-39.5,180.0,top
C21,83.3,-14.42,270.0,top
C22,48.981024,-16.175382,270.0,top
C23,84.66,-14.42,270.0,top
C24,92.384466,-14.914,90.0,top
C25,93.734466,-14.914,90.0,top
C26,26.42,-40.76,180.0,top
C27,98.834466,-13.0085,90.0,top
C28,100.184466,-13.0085,90.0,top
C29,89.064713,-14.909173,270.0,top
C3,26.42,-43.31,180.0,top
C30,101.534466,-13.0085,90.0,top
C31,90.414713,-14.909173,270.0,top
C32,32.362879,-17.313644,270.0,top
C33,93.594611,-57.227872,180.0,top
C34,93.594611,-54.847872,180.0,top
C35,30.922879,-19.043644,270.0,top
C36,82.317058,-34.399771,180.0,top
C37,32.362879,-23.033644,270.0,top
C38,29.572879,-19.043644,270.0,top
C39,31.012879,-23.033644,270.0,top
C4,26.42,-42.04,180.0,top
C40,28.222879,-19.043644,270.0,top
C41,86.164611,-52.057872,0.0,top
C42,86.164611,-50.707872,0.0,top
C43,34.710147,-14.699265,90.0,top
C44,82.317058,-35.669771,180.0,top
C45,82.317058,-36.939771,180.0,top
C46,36.920147,-14.699265,90.0,top
C47,97.992793,-54.696322,0.0,top
C48,36.987646,-36.46775,90.0,top
C49,38.447646,-33.61775,90.0,top
C5,26.42,-38.23,180.0,top
C50,36.987646,-33.61775,270.0,top
C51,38.447646,-36.46775,90.0,top
C52,104.342793,-53.576322,90.0,top
C53,105.692793,-53.576322,90.0,top
C54,74.27,-23.91,90.0,top
C55,92.797058,-33.619771,270.0,top
C56,94.147058,-33.619771,90.0,top
C57,92.797058,-36.469771,90.0,top
C58,94.147058,-36.459771,90.0,top
C6,26.42,-35.67,180.0,top
C7,26.4,-34.39,180.0,top
C8,26.42,-36.95,180.0,top
C9,67.24,-9.7635,270.0,top
D1,73.26,-4.8635,270.0,top
