Designator,Footprint,Quantity,Value,LCSC Part #
B1,BUZ-TH_L12.0-W12.0,1,4kHz,C7421651
BT1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery_Cell,C265283
"C1, C17, C25, C3",C_0603,4,22uF,C59461
C10,C_0402,1,3.3pF,C1565
"C11, C19",C_0603,2,1nF,C1588
"C12, C5, C6, C7, C8, C9",C_0402,6,100nF,C1525
"C13, C14",C_0603,2,4.7uF,C19666
C16,C_0603,1,1uF,C15849
"C18, C20, C22, C23, C4",C_0603,5,100nF,C14663
"C2, C21",C_0603,2,10uF,C19702
D1,D_SOD-123FL,1,SMF6.0AQ,C20605188
"D2, D7",D_0603,2,Red,C2286
D3,SENSOR-TH_BPW34S-Z,1,BPW34S-Z,C67891
D4,LED-SMD_4P-L3.2-W2.8-BL,1,MHPC3528CRGBCT,C2962096
D5,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_BGKR,
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"J2, J3, J4, J5, J6",AUDIO-SMD_PJ-320B,5,PJ-320B贴片,C18594
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper,
L1,L0805,1,BLM21PG221SN1D,C85840
L2,L_0805,1,2.2uH,C1043
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A,C908265
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,P-MOSFET,C10493
"R1, R18, R2, R3",R_0603,4,5.1kΩ,C23186
"R10, R15_2, R21, R23, R26, R5, R8",R_0603,7,100Ω,C22775
"R11, R12, R4",R_0603,3,10kΩ,C25804
R13,R_0603,1,2kΩ,C22975
"R14, R20, R7",R_0603,3,1MΩ,C22935
R15,R_0603,1,2.2kΩ,C4190
R16,R_0603,1,180kΩ,C22827
"R17, R21_2, R22, R24, R25",R_0603,5,100kΩ,C25803
R19,R_0603,1,1kΩ,C21190
R28,R_0603,1,330kΩ,C23137
R6,R_0603,1,0Ω,C21189
R9,R_0603,1,10Ω,C22859
SW1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
"SW2, SW3, SW4",KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,3,SKHHLVA010,C110289
SW5,SW-TH_MMP122-R,1,SW_Nidec_CAS-120A1, C92657
"TP1, TP2, TP3",TestPoint_Pad_D2.0mm,3,TestPoint,
TV1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SRV05-4-P-T7,C85364
U1,WIFIM-SMD_ESP32-S3-WROOM-1-N8,1,ESP32-S3-WROOM-1-N4,C2913197
"U10, U12",SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL,2,LM66100DCKR,C2869734
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
"U3, U4",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,MCP3208T-CI/SL,C626764
U5,VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,OPA380AIDGKR,C2057355
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP73812T-420I/OT,C144308
U7,WSON-6_L1.5-W1.5-P0.50-TL,1,BQ29700DSER,C183096
U8,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,1,TPS61200DRCR,C140320
U9,F1812,1,MF-MSMF050-2,C17313
"VR1, VR2, VR4, VR5, VR6, VR7",RES-TH_RK09D1130C2P,6,10kΩ,C470316
VR3,RES-TH_RK09D1130C2P,1,10kΩ,C361173
