Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0.0,-83.25,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
0.1,-83.21,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.2,-83.15,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.3,-83.11,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.4,-83.06,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
0.5,-83.02,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.6,-82.98,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
0.7,-82.92,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.8,-82.88,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
0.9,-82.84,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
1.0,-82.79,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.1,-82.75,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
1.2,-82.71,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.3,-82.65,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0
1.4,-82.61,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.5,-82.57,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.6,-82.53,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
1.7,-82.47,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.8,-82.43,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
1.9,-82.39,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.0,-82.35,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
2.1,-82.29,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.2,-82.25,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0
2.3,-82.21,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.4,-82.17,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
2.5,-82.13,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
2.6,-82.09,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.7,-82.03,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
2.8,-81.99,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.9,-81.95,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0
3.0,-81.91,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.1,-81.87,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
3.2,-81.82,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.3,-81.78,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
3.4,-81.74,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.5,-81.7,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.6,-81.66,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
3.7,-81.6,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
3.8,-81.57,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
3.9,-81.53,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.0,-81.49,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.1,-81.45,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
4.2,-81.4,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.3,-81.36,0.0,0.0,-114.0,0.0,-115.0,0.0,0.0
4.4,-81.32,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.5,-81.28,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
4.6,-81.24,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
4.7,-81.21,0.0,0.0,-114.0,0.0,-114.0,0.0,0.0
4.8,-76.33,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
4.9,-70.92,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
5.0,-67.98,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
5.1,-65.32,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
5.2,-62.8,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
5.3,-59.04,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
5.4,-56.4,20.0,26.0,-113.0,0.0,-113.0,0.0,0.0
5.5,-53.52,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
5.6,-50.23,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
5.7,-46.31,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
5.8,-41.37,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
5.9,-30.37,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
6.0,-18.07,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
6.1,30.0,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
6.2,-64.31,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
6.3,-62.29,20.0,26.0,-113.0,0.0,-113.0,0.0,0.0
6.4,-60.93,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
6.5,-59.53,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
6.6,-58.06,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
6.7,-56.49,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
6.8,-53.81,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
6.9,-51.72,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
7.0,-49.25,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
7.1,-46.25,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
7.2,-42.45,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
7.3,-34.12,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
7.4,-25.25,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
7.5,-10.65,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
7.6,-65.0,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
7.7,-64.68,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
7.8,-64.35,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
7.9,-64.01,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
8.0,-63.49,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
8.1,-63.13,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
8.2,-62.76,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
8.3,-62.38,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
8.4,-61.97,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
8.5,-61.34,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
8.6,-60.88,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
8.7,-60.4,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
8.8,-59.89,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
8.9,-59.34,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
9.0,-58.43,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
9.1,-57.76,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
9.2,-57.03,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
9.3,-56.21,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
9.4,-55.3,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
9.5,-53.71,20.0,26.0,-113.0,0.0,-113.0,0.0,0.0
9.6,-52.44,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
9.7,-50.95,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
9.8,-49.17,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
9.9,-46.88,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
10.0,-44.1,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
10.1,-38.18,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
10.2,-32.21,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
10.3,-23.13,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
10.4,-7.79,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
10.5,-65.0,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
10.6,-65.43,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
10.7,-66.0,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
10.8,-66.33,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
10.9,-66.62,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
11.0,-66.87,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
11.1,-67.09,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
11.2,-67.35,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
11.3,-67.48,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
11.4,-67.58,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
11.5,-67.66,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
11.6,-67.71,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
11.7,-67.73,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
11.8,-67.73,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
11.9,-67.71,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
12.0,-67.67,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
12.1,-67.51,20.0,27.0,-115.0,0.0,-115.0,0.0,0.0
12.2,-67.45,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
12.3,-67.33,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
12.4,-67.23,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
12.5,-67.13,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
12.6,-67.01,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
12.7,-66.88,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
12.8,-66.74,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
12.9,-66.52,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
13.0,-66.36,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
13.1,-66.2,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
13.2,-66.02,20.0,26.0,-112.0,0.0,-113.0,0.0,0.0
13.3,-65.84,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
13.4,-65.65,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
13.5,-65.35,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
13.6,-65.14,20.0,26.0,-114.0,0.0,-114.0,0.0,0.0
13.7,-64.92,20.0,26.0,-114.0,0.0,-115.0,0.0,0.0
13.8,-64.69,20.0,26.0,-115.0,0.0,-115.0,0.0,0.0
